ABHD17A	ABHD17A
ABHD17AP1	ABHD17AP1
ABHD17AP2	ABHD17AP1
ABHD17AP3	ABHD17AP3
ABHD17AP4	ABHD17AP4
ABHD17AP5	ABHD17AP5
ABHD17AP6	ABHD17AP6
ABHD17AP7	ABHD17AP7
ABHD17AP8	ABHD17AP8
ABHD17AP9	ABHD17AP9
ABHD17B	ABHD17B
ABHD17C	ABHD17C
ABHD18	ABHD18
ABHD1	ABHD1
ABHD20	EPHX2
ABHD21	SPG21
ABHD2	ABHD2
ABHD3	ABHD3
ABHD4	ABHD4
ABHD5	ABHD5
ABHD6	ABHD6
ABHD7	EPHX4
ABHD8	ABHD8
ABHD9	EPHX3
ABHS	MPLKIP
ABI-1	ABI1
ABI1	ABI1
ABI1P1	ABI1P1
ABI1P	ABI1P1
ABI-2	ABI2
ABI2	ABI2
ABI2B	ABI2
ABI3	ABI3
ABI3BP	ABI3BP
ABIN-1	TNIP1
ABIN2	TNIP2
ABIN-3	TNIP3
ABITRAM	ABITRAM
ABITRAMP1	ABITRAMP1
ABL1	ABL1
ABL2	ABL2
ABL	ABL1
AblBP3	ABI2
ABLBP4	ABI1
abLIM-1	ABLIM1
ABLIM1	ABLIM1
ABLIM2	ABLIM2
ABLIM3	ABLIM3
ABLIM	ABLIM1
ABLL	ABL2
ABL	MTTP
ABO	ABO
ABP125	SEC31A
ABP130	SEC31A
ABP1	AOC1
ABP1	DBNL
ABP-278	FLNB
ABP280A	FLNC
ABP-280	FLNA
ABP-280	FLNB
ABP-280	FLNC
ABP32	PEF1
ABP620	MACF1
ABPA	FLNC
ABP	AOC1
ABP-KELCH	KLHL2
ABPL	FLNC
ABPP	APP
ABP	SHBG
ABPX	FLNA
ABP/ZF	TRPV6
ABRA1	ABRAXAS1
ABRA	ABRA
ABR	ABR
ABRACL	ABRACL
ABRAXAS1	ABRAXAS1
ABRAXAS2	ABRAXAS2
ABRI	ITM2B
ABRO1	ABRAXAS2
ABS	DDX41
ABT1	ABT1
ABT1P1	ABT1P1
ABTAP	ESF1
ABTB1	ABTB1
ABTB2A	ABTB2
ABTB2	ABTB2
ABTB2B	BTBD11
AC133	PROM1
AC19	POLR1D
AC1	ADCY1
aC1	LINC01587
A-C1	PLAAT1
AC2	ADCY2
AC3-33	C3orf33
AC3	ADCY3
AC40	POLR1C
Ac45	ATP6AP1
AC4	ADCY4
AC5	ADCY5
AC6	ADCY6
AC7	ADCY7
AC8	ADCY8
AC9	ADCY9
ACA10	SNORA10
ACA11	SCARNA22
ACA12	SCARNA23
ACA13	SNORA13
ACA14a	SNORA14A
ACA14b	SNORA14B
ACA15	SNORA15
ACA16	SNORA16A
ACA17	SNORA17A
ACA18	SNORA18
ACA19	SNORA19
ACA1	SNORA1
ACA20	SNORA20
ACA21	SNORA21
ACA22	SNORA22
ACA23	SNORA23
ACA24	SNORA24
ACA25	SNORA25
ACA26	SCARNA4
ACA27	SNORA27
ACA28	SNORA28
ACA29	SNORA29
ACA2A	SNORA2A
ACA2b	SNORA2B
ACA30	SNORA30
ACA31	SNORA31
ACA32	SNORA32
ACA3-2	SNORA3B
ACA33	SNORA33
ACA34	SNORA2C
ACA35	SCARNA1
ACA36b	SNORA36B
ACA36	SNORA36A
ACA37	SNORA37
ACA38	SNORA38
ACA39	SNORA71E
ACA3	SNORA3A
ACA40	SNORA40
ACA41	SNORA41
ACA42	SNORA80E
ACA43	SNORA17B
ACA44	SNORA44
ACA45	SCARNA15
ACA46	SNORA46
ACA47	SCARNA16
ACA48	SNORA48
ACA49	SNORA49
ACA4	SNORA4
ACA50	SNORA50A
ACA51	SNORA51
ACA52	SNORA52
ACA53	SNORA53
ACA54	SNORA54
ACA55	SNORA55
ACA56	SNORA56
ACA57	SCARNA11
ACA58	SNORA58
ACA59	SNORA59A
ACA59	SNORA59B
ACA5A/B/C	SNORA5A
ACA5b	SNORA5B
ACA5c	SNORA5C
ACA5	SNORA5A
ACA60	SNORA60
ACA61	SNORA61
ACA62	SNORA50C
ACA63	SNORA77
ACA64	SNORA78
ACA65	SNORA79
ACA66	SCARNA20
ACA67B	SNORA80B
ACA67	SNORA80A
ACA68	SCARNA21
ACA6	SNORA6
